Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
"Public Transfers, Other cash",-30,757,760,758,763,764,757,748,742,736,730,722,717,712,702,693,681,674,664,636,560,491,401,308,212,123,43,-21,-67,-97,-120,-135,-145,-168,-193,-215,-261,-296,-322,-354,-401,-425,-443,-465,-509,-536,-575,-625,-679,-687,-685,-688,-693,-679,-706,-727,-712,-707,-708,-593,-493,-406,-255,-128,-60,-4,15,37,70,92,114,127,142,143,134,123,124,105,114,157,182,253,315,369,399,451,447,472,471,505,533,560,
"Public Transfers, Other cash, Inflows",883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,
"Public Transfers, Other cash, Outflows",913,125,123,125,120,118,126,135,141,147,153,161,166,171,181,190,202,208,219,247,323,392,482,575,670,760,840,904,950,980,"1,003","1,018","1,028","1,051","1,076","1,098","1,144","1,179","1,205","1,236","1,283","1,308","1,326","1,348","1,392","1,419","1,458","1,508","1,562","1,570","1,568","1,571","1,576","1,562","1,589","1,610","1,595","1,590","1,591","1,476","1,376","1,288","1,138","1,011",943,887,868,846,812,791,769,756,741,740,749,760,758,778,769,726,701,630,568,514,484,432,436,411,412,377,350,322,
Private Transfers,-2,"5,485","4,758","4,941","5,405","5,717","5,783","5,491","5,158","5,483","5,958","6,607","7,129","7,546","8,354","9,210","10,203","10,710","12,405","13,013","12,181","11,319","10,113","7,544","5,297","3,808","2,769","1,955","1,427","1,016",533,-4,-437,-864,"-1,437","-1,946","-2,501","-3,024","-3,693","-4,115","-4,666","-5,330","-5,844","-6,313","-7,002","-7,280","-7,490","-8,037","-8,262","-8,312","-8,244","-8,033","-7,184","-6,687","-6,104","-5,251","-4,435","-3,800","-3,213","-2,449","-2,406","-2,215","-2,066","-1,855","-1,846","-1,837","-1,938","-1,934","-2,004","-2,006","-1,859","-1,646","-1,450","-1,364","-1,213",-804,-504,-365,204,656,856,"1,532","2,064","2,663","3,154","3,664","4,172","4,962","5,692","6,106","6,760","7,415",
"Private Transfers, Inflows","7,474","5,485","4,758","4,941","5,405","5,717","5,783","5,491","5,158","5,483","5,958","6,607","7,129","7,546","8,354","9,210","10,203","10,711","12,414","13,148","12,846","12,517","11,921","9,967","8,377","7,502","6,981","6,673","6,536","6,521","6,528","6,501","6,506","6,546","6,484","6,434","6,402","6,340","6,296","6,278","6,273","6,182","6,240","6,396","6,388","6,586","6,879","7,027","6,998","7,274","7,388","7,617","8,033","8,309","8,510","8,951","9,141","9,137","9,364","9,435","9,183","8,938","8,808","8,556","8,225","7,769","7,486","7,190","6,731","6,391","6,278","6,085","5,932","5,847","5,811","5,846","5,861","5,898","6,006","6,100","6,025","6,274","6,405","6,662","6,827","7,118","7,379","7,822","8,255","8,562","8,900","9,238",
"Private Transfers, Outflows","7,476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,135,665,"1,198","1,808","2,423","3,081","3,694","4,211","4,719","5,110","5,505","5,994","6,505","6,943","7,409","7,921","8,380","8,903","9,365","9,989","10,394","10,939","11,512","12,084","12,709","13,391","13,866","14,370","15,064","15,260","15,586","15,632","15,650","15,218","14,996","14,614","14,202","13,576","12,937","12,577","11,884","11,588","11,153","10,874","10,411","10,072","9,606","9,424","9,124","8,736","8,397","8,138","7,731","7,383","7,211","7,024","6,651","6,365","6,263","5,802","5,443","5,170","4,742","4,341","3,999","3,673","3,454","3,208","2,860","2,562","2,456","2,140","1,823",
Interhousehold Transfers,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,210,0,64,26,21,5,-17,-13,-23,-26,-33,-30,-18,-6,38,65,140,167,248,310,386,391,512,625,710,788,936,880,630,480,253,83,-35,-87,-195,-185,-274,-311,-282,-279,-316,-345,-353,-349,-343,-338,-323,-323,-333,-308,-280,-270,-263,-254,-293,-305,-299,-291,-253,-220,-150,-125,-127,-127,-118,-130,-99,-52,-33,-9,-28,-47,
"Interhousehold Transfers, Inflows",340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,213,2,77,50,56,49,40,59,57,61,64,71,80,95,148,177,256,296,380,444,533,592,730,877,"1,005","1,154","1,368","1,444","1,322","1,281","1,159","1,084","1,009",972,878,850,686,571,538,457,371,284,237,198,211,187,187,189,181,178,202,201,199,201,166,155,179,196,229,245,285,266,233,205,196,155,144,148,130,111,75,38,
"Interhousehold Transfers, Outflows",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,13,24,35,43,57,72,80,87,97,101,98,100,110,113,116,129,132,134,146,200,218,251,295,366,432,565,692,801,906,"1,001","1,045","1,059","1,073","1,035",959,881,820,736,686,629,590,547,553,525,510,512,513,486,482,471,462,454,459,460,478,487,483,465,435,391,360,332,314,285,243,200,163,120,102,85,
Intrahousehold Transfers,0,"5,485","4,758","4,941","5,405","5,717","5,783","5,491","5,158","5,483","5,958","6,607","7,129","7,546","8,354","9,210","10,203","10,710","12,405","12,982","11,970","11,319","10,049","7,518","5,275","3,803","2,786","1,968","1,450","1,042",566,26,-419,-858,"-1,475","-2,010","-2,640","-3,191","-3,941","-4,425","-5,053","-5,721","-6,356","-6,938","-7,712","-8,068","-8,426","-8,916","-8,892","-8,793","-8,497","-8,116","-7,149","-6,600","-5,909","-5,066","-4,161","-3,489","-2,931","-2,170","-2,090","-1,870","-1,712","-1,505","-1,504","-1,500","-1,616","-1,611","-1,671","-1,698","-1,579","-1,376","-1,188","-1,111",-920,-500,-205,-74,458,876,"1,006","1,656","2,191","2,790","3,272","3,794","4,271","5,014","5,726","6,115","6,788","7,462",
