tract_id,Tract,pop,County,Total_units,Vacant,BLT_After2010,BLT_2000_2009,BLT_1990_1999,BLT_1980_1989,BLT_1970_1979,BLT_1960_1969,BLT_1950_1959,BLT_1940_1949,BLT_Before1939,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
15003008613,86.13,904,Honolulu County,263,0,0,0,0,3,180,58,3,19,0,203,60,14,91,98,0,0,0,42,18
15003008614,86.14,8232,Honolulu County,2603,112,3,730,275,298,1102,97,0,35,63,1631,860,415,538,591,87,28,80,211,541
15003008617,86.17,9364,Honolulu County,2527,0,0,161,1371,436,41,57,290,73,98,2006,521,195,1296,506,9,271,43,37,170
15003008622,86.22,4068,Honolulu County,1103,26,0,10,76,40,408,536,10,23,0,832,245,11,464,333,24,23,12,14,196
15003008701,87.01,8787,Honolulu County,1865,9,0,41,36,275,331,789,313,37,43,1312,544,157,343,803,9,111,76,146,211
15003008702,87.02,5593,Honolulu County,1540,84,0,375,264,110,100,415,152,82,42,504,952,203,105,196,0,421,113,319,99
15003008703,87.03,6837,Honolulu County,1803,94,0,29,467,397,385,494,6,25,0,668,1041,86,356,226,0,148,375,407,111
15003008800,88,8054,Honolulu County,1678,36,0,353,68,336,460,306,112,12,31,1360,282,34,375,951,0,141,48,10,83
15003008906,89.06,3771,Honolulu County,1410,10,8,0,81,105,1062,144,10,0,0,1117,283,140,440,525,12,10,22,47,204
15003008907,89.07,4232,Honolulu County,1335,69,0,12,21,52,836,373,22,0,19,779,487,116,263,390,10,116,114,34,223
15003008908,89.08,5837,Honolulu County,1908,80,0,14,38,437,1380,39,0,0,0,1594,234,75,331,1181,7,12,0,0,222
15003008909,89.09,3806,Honolulu County,1329,0,0,30,58,163,994,74,0,10,0,977,352,247,242,488,0,7,0,43,302
15003008912,89.12,2570,Honolulu County,479,34,0,14,12,38,226,127,39,0,23,371,74,5,112,234,20,6,0,5,63
15003008913,89.13,4116,Honolulu County,843,15,0,43,4,68,77,589,20,27,15,757,71,95,314,344,4,6,0,24,41
15003008914,89.14,5098,Honolulu County,1365,26,0,19,149,165,343,575,63,51,0,466,873,356,69,41,0,19,53,330,471
15003008915,89.15,5236,Honolulu County,1982,161,0,14,105,363,950,332,210,8,0,1098,723,496,341,261,0,61,35,335,292
15003008917,89.17,4554,Honolulu County,1583,0,0,24,39,1369,122,21,0,8,0,1363,220,135,302,918,8,18,0,66,136
15003008918,89.18,5429,Honolulu County,1836,47,0,0,106,595,1024,93,18,0,0,1431,358,166,404,861,0,7,7,28,316
15003008920,89.2,4296,Honolulu County,1684,93,0,0,216,1111,289,68,0,0,0,1009,582,246,427,328,8,0,0,75,507
15003008921,89.21,2668,Honolulu County,609,0,0,67,75,17,243,198,0,9,0,388,221,50,128,199,11,15,0,12,194
15003008922,89.22,7479,Honolulu County,3023,90,0,369,2224,363,18,0,15,16,18,2117,816,211,1082,806,18,12,0,80,724
15003008923,89.23,4737,Honolulu County,1859,71,0,47,168,1301,306,10,27,0,0,1196,592,420,283,475,18,29,7,347,209
15003008924,89.24,7623,Honolulu County,2110,134,0,520,684,852,39,15,0,0,0,1739,237,64,513,1162,0,11,0,7,219
15003008925,89.25,6902,Honolulu County,2051,0,0,397,501,827,288,29,0,9,0,1227,824,210,587,430,0,25,0,93,706
15003008926,89.26,1572,Honolulu County,656,51,0,184,446,26,0,0,0,0,0,389,216,106,208,75,0,0,0,9,207
15003008927,89.27,5180,Honolulu County,1752,74,0,1155,576,0,0,0,0,21,0,1482,196,131,608,673,70,0,7,34,155
15003008928,89.28,3884,Honolulu County,1198,44,0,919,279,0,0,0,0,0,0,1081,73,0,80,1001,0,0,0,0,73
15003008929,89.29,4836,Honolulu County,2152,105,18,125,1770,145,26,35,19,14,0,1460,587,347,583,530,0,66,16,49,456
15003008930,89.3,2560,Honolulu County,862,10,0,35,665,151,11,0,0,0,0,807,45,0,35,760,12,8,0,0,37
15003008931,89.31,3310,Honolulu County,825,0,0,816,4,0,0,0,5,0,0,783,42,0,13,699,71,0,0,0,42
15003009000,90,1634,Honolulu County,809,117,70,50,92,71,139,68,35,94,190,0,692,0,0,0,0,47,0,0,645
