Tract,County,Total_units,Occupied,Vacant,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
84.02,Honolulu County,2018,1788,230,1098,654,164,474,453,7,128,70,261,231
84.05,Honolulu County,1328,1219,109,1019,200,19,726,274,0,0,0,81,119
84.06,Honolulu County,1702,1548,154,1299,249,20,677,589,13,30,0,0,219
84.07,Honolulu County,1173,1007,166,768,239,120,354,294,0,0,0,0,239
84.08,Honolulu County,1564,1400,164,1092,308,40,567,474,11,7,22,17,262
84.1,Honolulu County,726,726,0,600,126,45,385,170,0,11,0,0,115
84.11,Honolulu County,1215,1055,160,666,356,184,325,157,0,33,11,94,251
84.12,Honolulu County,2494,2164,330,1448,703,834,520,82,12,26,27,248,415
85.02,Honolulu County,684,584,100,36,548,0,36,0,0,23,15,16,494
86.06,Honolulu County,2648,2581,67,2120,435,278,900,915,27,55,36,114,256
86.09,Honolulu County,794,594,200,295,269,7,234,54,0,30,12,0,257
86.1,Honolulu County,1007,489,518,262,222,15,60,173,14,5,0,0,222
86.11,Honolulu County,68,68,0,21,47,0,4,17,0,0,14,0,33
86.12,Honolulu County,2124,1913,211,1304,609,237,442,621,4,0,0,274,335
86.13,Honolulu County,263,263,0,203,60,14,91,98,0,0,0,42,18
86.14,Honolulu County,2603,2491,112,1631,832,415,538,591,87,28,80,211,541
86.17,Honolulu County,2527,2527,0,2006,455,195,1296,506,9,271,43,37,170
86.22,Honolulu County,1103,1077,26,832,222,11,464,333,24,23,12,14,196
87.01,Honolulu County,1865,1856,9,1312,466,157,343,803,9,111,76,146,211
87.02,Honolulu County,1540,1456,84,504,916,203,105,196,0,421,113,319,99
87.03,Honolulu County,1803,1709,94,668,1026,86,356,226,0,148,375,407,111
88,Honolulu County,1678,1642,36,1360,282,34,375,951,0,141,48,10,83
89.06,Honolulu County,1410,1400,10,1117,273,140,440,525,12,10,22,47,204
89.07,Honolulu County,1335,1266,69,779,466,116,263,390,10,116,114,34,223
89.08,Honolulu County,1908,1828,80,1594,222,75,331,1181,7,12,0,0,222
89.09,Honolulu County,1329,1329,0,977,345,247,242,488,0,7,0,43,302
89.12,Honolulu County,479,445,34,371,68,5,112,234,20,6,0,5,63
89.13,Honolulu County,843,828,15,757,65,95,314,344,4,6,0,24,41
89.14,Honolulu County,1365,1339,26,466,873,356,69,41,0,19,53,330,471
89.15,Honolulu County,1982,1821,161,1098,662,496,341,261,0,61,35,335,292
89.17,Honolulu County,1583,1583,0,1363,202,135,302,918,8,18,0,66,136
89.18,Honolulu County,1836,1789,47,1431,358,166,404,861,0,7,7,28,316
89.2,Honolulu County,1684,1591,93,1009,582,246,427,328,8,0,0,75,507
89.21,Honolulu County,609,609,0,388,206,50,128,199,11,15,0,12,194
89.22,Honolulu County,3023,2933,90,2117,804,211,1082,806,18,12,0,80,724
89.23,Honolulu County,1859,1788,71,1196,574,420,283,475,18,29,7,347,209
89.24,Honolulu County,2110,1976,134,1739,226,64,513,1162,0,11,0,7,219
89.25,Honolulu County,2051,2051,0,1227,824,210,587,430,0,25,0,93,706
89.26,Honolulu County,656,605,51,389,216,106,208,75,0,0,0,9,207
89.27,Honolulu County,1752,1678,74,1482,196,131,608,673,70,0,7,34,155
89.28,Honolulu County,1198,1154,44,1081,73,0,80,1001,0,0,0,0,73
89.29,Honolulu County,2152,2047,105,1460,587,347,583,530,0,66,16,49,456
89.3,Honolulu County,862,852,10,807,45,0,35,760,12,8,0,0,37
89.31,Honolulu County,825,825,0,783,42,0,13,699,71,0,0,0,42
9.01,Honolulu County,1239,1195,44,644,481,11,279,288,66,70,0,68,413
9.02,Honolulu County,1551,1481,70,1006,400,38,60,558,350,109,17,62,287
9.03,Honolulu County,1098,1047,51,593,370,42,59,375,117,132,21,66,235
90,Honolulu County,809,692,117,0,653,0,0,0,0,47,0,0,645
91,Honolulu County,1187,1147,40,611,503,90,282,239,0,186,10,190,150
92,Honolulu County,2568,2394,174,1698,614,193,712,793,0,223,43,225,205
93,Honolulu County,1680,1504,176,523,947,61,187,275,0,513,43,237,188
94,Honolulu County,1940,1750,190,571,1118,132,205,234,0,304,237,487,151
9400,Kauai County,1378,1204,174,831,336,292,179,234,126,79,30,133,131
"9,400.01",Honolulu County,1200,1169,31,875,233,354,173,251,97,206,36,21,31
"9,400.02",Honolulu County,1641,1486,155,1072,385,715,274,56,27,83,30,161,140
95.01,Honolulu County,1251,1231,20,0,1175,0,0,0,0,56,9,22,1144
95.02,Honolulu County,1255,1163,92,0,1063,0,0,0,0,100,0,6,1057
95.03,Honolulu County,194,165,29,0,135,0,0,0,0,30,0,11,124
95.04,Honolulu County,418,386,32,0,314,0,0,0,0,75,0,43,268
95.07,Honolulu County,587,508,79,0,438,0,0,0,0,70,0,18,420
96.03,Honolulu County,2664,2338,326,1194,1120,207,879,92,16,260,74,486,324
96.08,Honolulu County,1515,1326,189,755,454,333,301,107,14,233,9,152,177
97.01,Honolulu County,1913,1653,260,776,837,484,200,92,0,311,222,228,116
97.03,Honolulu County,1513,1467,46,1278,189,519,582,175,2,7,17,111,54
97.04,Honolulu County,771,704,67,373,290,131,145,96,1,111,113,12,95
98.01,Honolulu County,1516,1063,453,476,544,333,35,70,38,67,112,387,21
