Tract,County,Total_units,Occupied,Vacant,Owner_occupied,VALUE_Less50k,VALUE_50_99k,VALUE_100_149k,VALUE_150_199k,VALUE_200_299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,VALUE_Median,rent_units,RENT_less200,RENT_200_299,RENT_300_499,RENT_500_749,RENT_750_999,RENT_1k_1499,RENT_1k5up,RENT_Median,RENT_0
404,Kauai County,2951,2613,338,1795,36,85,59,58,157,821,478,101,436400,765,0,19,55,67,141,222,261,1165,53
405,Kauai County,2482,2156,326,1222,19,32,31,0,84,472,498,86,493400,884,12,0,27,102,132,397,214,1168,50
406.03,Kauai County,2082,964,1118,635,13,2,0,19,27,132,300,142,650400,274,33,20,11,14,48,65,83,1120,55
406.04,Kauai County,1615,1174,441,742,0,15,11,6,33,152,424,101,627500,393,17,0,0,72,34,127,143,1216,39
407,Kauai County,3188,2649,539,1751,41,25,10,10,45,791,711,118,486600,803,40,48,42,133,91,231,218,1094,95
408,Kauai County,1277,1170,107,559,12,0,10,10,31,257,230,9,465700,591,26,50,159,84,92,127,53,713,20
409,Kauai County,2273,1647,626,939,0,8,20,8,92,435,324,52,445600,639,0,10,38,52,86,256,197,1197,69
41,Honolulu County,2328,2144,184,795,0,0,0,53,267,371,80,24,331800,1235,52,56,74,96,308,590,59,1028,114
412,Kauai County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Honolulu County,1938,1843,95,987,10,0,0,29,252,531,156,9,358400,803,0,0,19,15,60,477,232,1354,53
43,Honolulu County,2571,2394,177,917,19,0,23,43,187,189,443,13,497200,1453,29,47,43,39,275,781,239,1161,24
44,Honolulu County,1667,1550,117,1137,10,27,25,9,33,166,772,95,652600,376,28,0,23,3,25,151,146,1383,37
45,Honolulu County,2278,2155,123,1621,0,0,16,17,57,155,979,397,773800,529,0,22,0,0,0,158,349,1689,5
46,Honolulu County,1271,1239,32,1021,0,0,15,0,50,44,584,328,862600,176,0,0,0,0,9,33,134,1732,42
47,Honolulu County,1557,1496,61,1043,0,0,0,0,14,140,676,213,778400,367,0,0,0,22,118,97,130,1312,86
48,Honolulu County,1836,1668,168,899,0,11,0,0,19,153,626,90,660200,725,27,36,19,31,50,160,402,1578,44
49,Honolulu County,1012,919,93,431,0,10,10,0,39,147,225,0,512100,453,8,0,5,45,126,175,94,1113,35
5,Honolulu County,1689,1305,384,1042,0,0,0,0,37,38,195,772,"1,000,000",216,0,0,0,0,0,23,193,"2,000",47
50,Honolulu County,1604,1524,80,711,0,0,0,0,32,373,237,69,465100,792,48,13,8,104,210,242,167,1019,21
51,Honolulu County,1540,1478,62,462,0,25,0,0,51,213,173,0,453600,1006,80,196,42,276,93,55,264,697,10
52,Honolulu County,1581,1444,137,17,0,0,0,0,0,0,17,0,0,1427,53,54,428,332,362,185,13,657,0
53,Honolulu County,1527,1428,99,119,0,0,0,0,44,65,10,0,323800,1301,39,107,91,400,304,256,104,756,8
54,Honolulu County,421,398,23,0,0,0,0,0,0,0,0,0,0,395,37,56,75,143,23,58,3,603,3
55,Honolulu County,669,604,65,207,0,0,0,11,16,56,119,5,581300,397,34,11,65,63,81,127,16,873,0
56,Honolulu County,1857,1770,87,757,9,69,8,24,106,199,335,7,462400,971,10,166,165,79,133,293,125,841,42
57,Honolulu County,931,778,153,133,0,0,0,0,18,100,15,0,377000,632,0,0,0,316,68,216,32,750,13
58,Honolulu County,1006,1006,0,345,0,0,7,37,273,0,28,0,251500,628,19,83,159,99,40,202,26,664,33
59,Honolulu County,616,537,79,67,0,0,0,0,0,20,36,11,775000,470,0,0,0,102,112,226,30,1032,0
6,Honolulu County,540,452,88,344,0,0,8,0,4,0,33,299,"1,000,000",55,0,0,0,0,0,0,55,"2,000",53
60,Honolulu County,1252,1117,135,395,4,0,5,49,86,44,168,39,521400,713,16,0,11,0,61,407,218,1310,9
61,Honolulu County,767,750,17,417,0,0,12,8,8,92,268,29,632500,328,0,0,17,5,12,106,188,1652,5
62.01,Honolulu County,1513,1399,114,587,0,0,10,11,119,170,255,22,489300,788,116,48,63,52,137,276,96,948,24
62.02,Honolulu County,428,422,6,11,0,0,0,0,5,0,6,0,770800,398,80,28,75,98,88,29,0,559,13
63.01,Honolulu County,867,821,46,526,11,10,0,0,4,73,380,48,642700,275,6,0,16,49,32,88,84,1233,20
63.02,Honolulu County,561,544,17,159,0,0,0,0,9,88,62,0,477600,365,12,29,77,105,72,43,27,658,20
64.01,Honolulu County,405,390,15,250,0,0,0,0,0,60,190,0,614400,110,0,0,4,0,0,76,30,1388,30
64.02,Honolulu County,1451,1376,75,774,0,0,0,0,118,286,364,6,492100,566,0,0,19,9,109,140,289,1518,36
65,Honolulu County,1033,973,60,677,24,0,0,0,24,214,406,9,560300,289,0,0,0,8,30,153,98,1289,7
66,Honolulu County,150,108,42,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,108,"2,000",0
67.01,Honolulu County,1888,1792,96,1378,9,31,40,0,24,116,1152,6,658400,342,0,0,0,0,7,74,261,"2,000",72
67.02,Honolulu County,948,933,15,121,0,5,0,0,0,13,103,0,603200,812,5,0,0,30,6,295,476,1581,0
68.02,Honolulu County,1619,1520,99,927,10,10,0,9,15,208,657,18,632200,582,0,0,0,8,71,299,204,1326,11
68.04,Honolulu County,910,864,46,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,11,0,822,"2,000",31
68.05,Honolulu County,2556,2364,192,1482,0,16,0,70,155,610,594,37,457700,839,0,0,0,0,0,188,651,1720,43
68.06,Honolulu County,551,551,0,513,0,10,5,0,6,6,480,6,666300,12,0,0,0,0,0,0,12,"2,000",26
68.08,Honolulu County,2123,1926,197,909,0,0,0,65,227,454,152,11,349400,910,0,9,9,61,90,414,327,1341,107
68.09,Honolulu County,2033,1906,127,866,0,12,23,66,408,357,0,0,283100,990,18,26,47,54,169,404,272,1238,50
69,Honolulu County,993,980,13,4,0,0,0,0,0,4,0,0,0,946,0,0,0,0,5,7,934,"2,000",30
7,Honolulu County,1021,930,91,687,0,0,0,0,25,38,550,74,761900,192,0,0,0,10,20,17,145,1845,51
70,Honolulu County,1335,1312,23,19,0,0,0,0,10,0,0,9,297500,1249,0,9,0,0,0,26,1214,"2,000",44
71,Honolulu County,794,675,119,0,0,0,0,0,0,0,0,0,0,645,0,0,9,0,5,44,587,"2,000",30
