SchCode,Year,CountOfSSN,SumOfFTE,TeachersFullyLicCnt,TeachersProvCredCnt,TeachersEmgcyCredCnt,TeachersRegSum,TeachersHeadCnt,TeachersAdminSum,TeacherSupSum,TeacherSpedSum,TeachersMiscSum,TeachersCounsSum,TeachersLibrSum,TeachersFullyLicPct,TeachersProvCredPct,TeachersEmgcyCredPct,TeachersRegPct,TeachersHeadPct,TeachersAdminPct,TeachersSupPct,TeachersSpedPct,TeachersMiscPct,TeachersCounsPct,TeachersLibrPct,AvgTerm,AvgAge,MasterCnt,DoctorCnt,ClassesTaughtByNotHQT,TotalClassPeriods,ClassesTaughtByHQTPct,ClassesNotTaughtBYHQTPct,TotalTerm,RosterCount,RegularRatio,SPEDRatio,Staff5Years,PrincipalCount,TotalofPeriods,TotofPeriodsNotTaughtbyHQV6Z,ClassNotTaughtbyHQTchrs
"417","2013",43,36.5,36,0,1,28.5,37,4,0,8,0,1,1,.97297297,0,.02702703,.78082192,.86046512,.10958904,0,.21917808,0,.02739726,.02739726,13.521622,0,8,0,0,0,0,0,500.3,37,16.77193,6.375,23,2,124,5,.04032258
"418","2013",128,110,109,0,1,89,110,9,1,20,0,7,2,.99090909,0,.00909091,.80909091,.859375,.08181818,.00909091,.18181818,0,.06363636,.01818182,12.482727,0,46,1,0,0,0,0,1373.1,110,18.932584,9.25,73,2,388,34,.08762887
"419","2013",7,5.5,6,0,0,5,6,1,0,.5,0,0,0,1,0,0,.90909091,.85714286,.18181818,0,.09090909,0,0,0,8.7666667,0,2,0,0,0,0,0,52.6,6,15.2,22,1,1,34,5,.14705882
"420","2013",65,56,56,0,0,44,56,5,0,12,0,3,1,1,0,0,.78571429,.86153846,.08928571,0,.21428571,0,.05357143,.01785714,16.485714,0,23,1,0,0,0,0,923.2,56,15.818182,9,35,1,233,24,.10300429
"421","2013",34,26,25,0,1,19,26,6,0,7,0,1,1,.96153846,0,.03846154,.73076923,.76470588,.23076923,0,.26923077,0,.03846154,.03846154,14.126923,0,8,0,0,0,0,0,367.3,26,14.473684,6.1428571,21,3,116,10,.0862069
"422","2013",22,19,18,0,2,17,20,2,0,2,0,0,0,.9,0,.1,.89473684,.90909091,.10526316,0,.10526316,0,0,0,12.565,0,4,0,0,0,0,0,251.3,20,17.470588,6.5,10,1,75,15,.2
"424","2013",55,50,50,0,0,42,50,3,1,7,0,2,0,1,0,0,.84,.90909091,.06,.02,.14,0,.04,0,13.794,0,13,0,0,0,0,0,689.7,50,18.071429,8.1428571,35,1,203,7,.03448276
"425","2013",61,56,56,0,0,48,56,3,0,8,0,2,0,1,0,0,.85714286,.91803279,.05357143,0,.14285714,0,.03571429,0,12.3,0,19,0,0,0,0,0,688.8,56,18.958333,6.25,32,1,235,0,0
"426","2013",34,30,30,0,0,25,30,2,0,5,0,1,1,1,0,0,.83333333,.88235294,.06666667,0,.16666667,0,.03333333,.03333333,14.826667,0,11,0,0,0,0,0,444.8,30,19.08,4.6,21,2,139,0,0
"428","2013",74,64,62,0,2,51,64,5,1,12,0,4,1,.96875,0,.03125,.796875,.86486486,.078125,.015625,.1875,0,.0625,.015625,13.18125,0,23,1,0,0,0,0,843.6,64,19.862745,8.25,35,1,230,15,.06521739
"429","2013",48,42,42,0,0,34,42,3,2,6,0,2,1,1,0,0,.80952381,.875,.07142857,.04761905,.14285714,0,.04761905,.02380952,11.104762,0,16,0,0,0,0,0,466.4,42,19.147059,8.8333333,23,2,174,15,.0862069
"430","2013",46,41,41,0,0,33,41,3,1,7,0,2,0,1,0,0,.80487805,.89130435,.07317073,.02439024,.17073171,0,.04878049,0,11.885366,0,16,0,0,0,0,0,487.3,41,15.939394,6.7142857,29,1,172,8,.04651163
"431","2013",44,40,40,0,0,34,40,2,0,6,0,2,0,1,0,0,.85,.90909091,.05,0,.15,0,.05,0,11.8025,0,13,0,0,0,0,0,472.1,40,16.941176,7.3333333,18,3,150,0,0
"433","2013",48,41,41,0,0,34,41,5,0,7,0,1,1,1,0,0,.82926829,.85416667,.12195122,0,.17073171,0,.02439024,.02439024,11.070732,0,14,0,0,0,0,0,453.9,41,18.5,6.5714286,19,1,181,0,0
"434","2013",17,13,13,0,0,11,13,3,0,2,0,1,0,1,0,0,.84615385,.76470588,.23076923,0,.15384615,0,.07692308,0,16.523077,0,3,0,0,0,0,0,214.8,13,16.272727,15,7,3,58,2,.03448276
"435","2013",77,66,66,0,0,50,66,6,0,16,0,4,1,1,0,0,.75757576,.85714286,.09090909,0,.24242424,0,.06060606,.01515152,11.643939,0,35,1,0,0,0,0,768.5,66,18.12,10,47,1,218,18,.08256881
"436","2013",1,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,,,
