SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
292,2013,10,120,228,0.526315789,60,110,0.545454545
292,2013,11,160,216,0.740740741,71,127,0.559055118
292,2013,16,123,165,0.745454545,79,123,0.642276423
292,2013,17,77,154,0.5,17,52,0.326923077
292,2013,19,11,16,0.6875,14,22,0.636363636
301,2013,1,194,284,0.683098592,89,175,0.508571429
301,2013,2,58,93,0.623655914,15,46,0.326086957
301,2013,3,20,39,0.512820513,1,19,0.052631579
301,2013,4,7,11,0.636363636,3,5,0.6
301,2013,6,5,6,0.833333333,3,3,1
301,2013,7,3,3,1,1,3,0.333333333
301,2013,8,0,1,0,0,0,-1
301,2013,9,19,31,0.612903226,17,27,0.62962963
301,2013,10,104,160,0.65,44,81,0.543209877
301,2013,11,90,124,0.725806452,45,94,0.478723404
301,2013,16,76,101,0.752475248,41,66,0.621212121
301,2013,17,91,142,0.64084507,16,56,0.285714286
301,2013,19,0,0,-1,11,20,0.55
307,2013,1,125,252,0.496031746,23,68,0.338235294
307,2013,2,48,112,0.428571429,3,26,0.115384615
307,2013,3,8,34,0.235294118,1,4,0.25
307,2013,4,2,7,0.285714286,2,4,0.5
307,2013,6,0,0,-1,0,0,-1
307,2013,7,3,6,0.5,0,0,-1
307,2013,8,0,2,0,0,0,-1
307,2013,9,40,59,0.677966102,6,15,0.4
307,2013,10,36,117,0.307692308,11,31,0.35483871
307,2013,11,89,135,0.659259259,12,37,0.324324324
307,2013,16,13,31,0.419354839,4,7,0.571428571
307,2013,17,63,133,0.473684211,11,38,0.289473684
307,2013,19,6,21,0.285714286,2,8,0.25
309,2013,1,139,215,0.646511628,38,106,0.358490566
309,2013,2,70,113,0.619469027,16,48,0.333333333
309,2013,3,8,26,0.307692308,2,7,0.285714286
309,2013,4,1,3,0.333333333,0,3,0
309,2013,6,3,3,1,0,1,0
309,2013,7,7,11,0.636363636,0,1,0
309,2013,8,0,0,-1,0,0,-1
309,2013,9,14,28,0.5,6,12,0.5
309,2013,10,72,123,0.585365854,20,48,0.416666667
309,2013,11,67,92,0.72826087,18,58,0.310344828
309,2013,16,41,51,0.803921569,8,29,0.275862069
309,2013,17,74,121,0.611570248,20,54,0.37037037
309,2013,19,0,1,0,4,9,0.444444444
312,2013,1,125,175,0.714285714,29,68,0.426470588
312,2013,2,33,47,0.70212766,7,19,0.368421053
312,2013,3,13,26,0.5,0,2,0
312,2013,4,1,4,0.25,0,1,0
312,2013,6,6,7,0.857142857,2,2,1
312,2013,7,5,6,0.833333333,3,3,1
312,2013,8,0,1,0,0,0,-1
312,2013,9,54,71,0.76056338,13,29,0.448275862
312,2013,10,51,87,0.586206897,18,39,0.461538462
312,2013,11,74,88,0.840909091,11,29,0.379310345
312,2013,16,12,21,0.571428571,1,6,0.166666667
312,2013,17,37,56,0.660714286,4,16,0.25
312,2013,19,11,13,0.846153846,6,12,0.5
354,2013,1,103,179,0.575418994,51,104,0.490384615
354,2013,2,69,132,0.522727273,33,68,0.485294118
354,2013,3,9,26,0.346153846,1,13,0.076923077
354,2013,4,11,17,0.647058824,1,7,0.142857143
354,2013,6,1,4,0.25,0,0,-1
354,2013,7,1,5,0.2,3,6,0.5
354,2013,8,0,0,-1,1,1,1
354,2013,9,28,48,0.583333333,17,25,0.68
354,2013,10,49,94,0.521276596,19,39,0.487179487
354,2013,11,54,85,0.635294118,32,65,0.492307692
354,2013,16,45,53,0.849056604,17,32,0.53125
354,2013,17,28,69,0.405797101,9,30,0.3
354,2013,19,0,0,-1,4,10,0.4
355,2013,1,202,276,0.731884058,91,182,0.5
355,2013,2,89,132,0.674242424,34,83,0.409638554
355,2013,3,11,21,0.523809524,4,16,0.25
355,2013,4,4,9,0.444444444,1,6,0.166666667
355,2013,6,4,4,1,1,2,0.5
355,2013,7,10,14,0.714285714,2,4,0.5
355,2013,8,3,3,1,1,2,0.5
355,2013,9,38,47,0.808510638,20,31,0.64516129
355,2013,10,105,153,0.68627451,43,84,0.511904762
355,2013,11,97,123,0.788617886,48,98,0.489795918
355,2013,16,72,85,0.847058824,31,51,0.607843137
355,2013,17,75,122,0.614754098,27,71,0.38028169
355,2013,19,0,1,0,9,21,0.428571429
360,2013,1,72,143,0.503496503,27,58,0.465517241
360,2013,2,31,76,0.407894737,7,22,0.318181818
360,2013,3,7,18,0.388888889,0,3,0
360,2013,4,2,8,0.25,1,1,1
360,2013,6,0,0,-1,0,0,-1
360,2013,7,3,5,0.6,2,2,1
360,2013,8,0,1,0,0,0,-1
360,2013,9,14,23,0.608695652,6,8,0.75
360,2013,10,35,74,0.472972973,15,30,0.5
360,2013,11,37,69,0.536231884,12,28,0.428571429
360,2013,16,33,49,0.673469388,12,24,0.5
360,2013,17,21,64,0.328125,7,22,0.318181818
360,2013,19,1,1,1,0,2,0
368,2013,1,37,59,0.627118644,20,30,0.666666667
368,2013,2,25,39,0.641025641,10,17,0.588235294
368,2013,3,2,5,0.4,0,2,0
368,2013,4,2,4,0.5,3,3,1
368,2013,6,0,1,0,0,0,-1
368,2013,7,2,3,0.666666667,1,2,0.5
368,2013,8,0,0,-1,0,0,-1
368,2013,9,8,10,0.8,3,6,0.5
368,2013,10,14,22,0.636363636,9,14,0.642857143
368,2013,11,23,37,0.621621622,11,16,0.6875
368,2013,16,15,22,0.681818182,12,14,0.857142857
368,2013,17,12,23,0.52173913,4,7,0.571428571
368,2013,19,0,0,-1,0,1,0
373,2013,1,28,54,0.518518519,12,22,0.545454545
373,2013,2,15,31,0.483870968,2,7,0.285714286
373,2013,3,4,12,0.333333333,1,4,0.25
373,2013,4,2,3,0.666666667,0,0,-1
373,2013,6,1,1,1,0,0,-1
373,2013,7,1,2,0.5,0,0,-1
373,2013,8,0,1,0,0,0,-1
373,2013,9,0,1,0,0,2,0
373,2013,10,12,31,0.387096774,7,14,0.5
373,2013,11,16,23,0.695652174,5,8,0.625
373,2013,16,13,19,0.684210526,10,13,0.769230769
373,2013,17,13,30,0.433333333,2,6,0.333333333
373,2013,19,0,0,-1,0,1,0
374,2013,1,55,125,0.44,24,49,0.489795918
374,2013,2,24,66,0.363636364,9,14,0.642857143
374,2013,3,2,10,0.2,1,1,1
374,2013,4,2,10,0.2,1,1,1
374,2013,6,1,1,1,1,2,0.5
374,2013,7,2,8,0.25,2,3,0.666666667
374,2013,8,0,1,0,0,0,-1
374,2013,9,9,24,0.375,7,13,0.538461538
374,2013,10,26,59,0.440677966,8,22,0.363636364
374,2013,11,29,66,0.439393939,16,27,0.592592593
374,2013,16,24,35,0.685714286,7,11,0.636363636
374,2013,17,19,54,0.351851852,6,15,0.4
374,2013,19,0,2,0,1,5,0.2
377,2013,1,8,13,0.615384615,7,14,0.5
377,2013,2,4,7,0.571428571,3,8,0.375
377,2013,3,1,4,0.25,0,3,0
377,2013,4,1,1,1,2,3,0.666666667
377,2013,6,0,0,-1,0,0,-1
377,2013,7,0,1,0,1,1,1
377,2013,8,1,1,1,0,1,0
377,2013,9,0,0,-1,0,0,-1
377,2013,10,4,7,0.571428571,2,8,0.25
377,2013,11,4,6,0.666666667,5,6,0.833333333
377,2013,16,4,6,0.666666667,5,8,0.625
377,2013,17,3,5,0.6,1,4,0.25
377,2013,19,0,0,-1,0,0,-1
378,2013,1,0,0,-1,2,2,1
378,2013,2,0,0,-1,2,2,1
378,2013,3,0,0,-1,0,0,-1
378,2013,4,0,0,-1,0,0,-1
378,2013,6,0,0,-1,0,0,-1
378,2013,7,0,0,-1,0,0,-1
378,2013,8,0,0,-1,0,0,-1
378,2013,9,0,0,-1,0,0,-1
378,2013,10,0,0,-1,0,0,-1
378,2013,11,0,0,-1,2,2,1
378,2013,16,0,0,-1,0,0,-1
378,2013,17,0,0,-1,2,2,1
378,2013,19,0,0,-1,0,0,-1
383,2013,1,59,108,0.546296296,23,44,0.522727273
383,2013,2,40,77,0.519480519,12,31,0.387096774
383,2013,3,6,22,0.272727273,0,7,0
383,2013,4,3,6,0.5,1,4,0.25
383,2013,6,1,1,1,0,0,-1
383,2013,7,1,3,0.333333333,0,1,0
383,2013,8,1,1,1,0,0,-1
383,2013,9,18,29,0.620689655,8,11,0.727272727
383,2013,10,29,55,0.527272727,11,20,0.55
383,2013,11,30,53,0.566037736,12,24,0.5
383,2013,16,17,25,0.68,10,11,0.909090909
383,2013,17,21,48,0.4375,3,16,0.1875
383,2013,19,0,1,0,2,5,0.4
389,2013,1,196,254,0.771653543,97,167,0.580838323
389,2013,2,56,89,0.629213483,19,42,0.452380952
389,2013,3,1,7,0.142857143,1,5,0.2
389,2013,4,5,6,0.833333333,2,6,0.333333333
389,2013,6,3,3,1,0,0,-1
389,2013,7,4,7,0.571428571,4,10,0.4
389,2013,8,1,1,1,1,3,0.333333333
389,2013,9,25,35,0.714285714,15,24,0.625
389,2013,10,98,133,0.736842105,33,72,0.458333333
