SchCode,Year,SubgroupCode,GradeCode,SubjectCode,NbrActiveTested,NbrActive,PctTested,WellBelowProf,ApproachingProf,MeetsProf,ExceedsProf,NbrMeetsExceedsProf,NbrAllProf,PctProf
102,2012,1,4,S,0,0,-1,0,11,19,8,27,38,0.710526316
102,2013,2,99,R,62,62,1,3,9,30,20,50,62,0.806451613
102,2013,3,99,S,3,3,1,1,0,2,0,2,3,0.666666667
102,2013,3,99,M,8,8,1,1,4,3,0,3,8,0.375
102,2013,3,99,R,8,8,1,3,1,4,0,4,8,0.5
102,2013,4,99,M,4,4,1,0,3,1,0,1,4,0.25
102,2013,4,99,R,4,4,1,1,2,1,0,1,4,0.25
102,2013,5,99,M,99,99,1,2,17,52,28,80,99,0.808080808
102,2013,5,99,R,99,99,1,4,11,34,50,84,99,0.848484848
102,2013,7,99,R,5,5,1,1,0,2,2,4,5,0.8
102,2013,6,99,M,0,0,-1,0,0,0,0,0,0,-1
102,2013,9,99,M,10,10,1,0,0,5,5,10,10,1
102,2013,6,99,R,0,0,-1,0,0,0,0,0,0,-1
102,2013,7,99,M,5,5,1,0,3,2,0,2,5,0.4
102,2013,12,99,M,0,0,-1,0,0,0,0,0,0,-1
102,2013,11,99,R,55,55,1,2,2,23,28,51,55,0.927272727
102,2013,11,99,M,55,55,1,0,6,35,14,49,55,0.890909091
102,2013,2,99,M,62,62,1,1,15,37,9,46,62,0.741935484
102,2013,8,99,M,0,0,-1,0,0,0,0,0,0,-1
102,2013,8,99,R,0,0,-1,0,0,0,0,0,0,-1
102,2013,10,99,R,59,59,1,3,9,15,32,47,59,0.796610169
102,2013,10,99,M,59,59,1,2,14,24,19,43,59,0.728813559
102,2013,9,99,R,10,10,1,0,0,2,8,10,10,1
102,2013,12,99,R,0,0,-1,0,0,0,0,0,0,-1
102,2013,8,99,S,0,0,-1,0,0,0,0,0,0,-1
102,2013,1,99,R,114,114,1,5,11,38,60,98,114,0.859649123
102,2013,7,99,S,1,1,1,0,0,1,0,1,1,1
102,2013,1,99,M,114,114,1,2,20,59,33,92,114,0.807017544
102,2013,6,99,S,0,0,-1,0,0,0,0,0,0,-1
102,2013,1,99,S,38,38,1,2,9,19,8,27,38,0.710526316
102,2013,4,99,S,2,2,1,1,1,0,0,0,2,0
102,2013,5,99,S,33,33,1,2,9,15,7,22,33,0.666666667
102,2013,2,99,S,17,17,1,2,6,7,2,9,17,0.529411765
102,2013,18,99,M,24,24,1,0,5,16,3,19,24,0.791666667
102,2013,13,99,R,25,25,1,2,6,10,7,17,25,0.68
102,2013,14,99,M,0,0,-1,0,0,0,0,0,0,-1
102,2013,14,99,R,0,0,-1,0,0,0,0,0,0,-1
102,2013,15,99,M,8,8,1,1,4,3,0,3,8,0.375
102,2013,15,99,R,8,8,1,3,1,4,0,4,8,0.5
102,2013,16,99,M,71,71,1,2,10,34,25,59,71,0.830985915
102,2013,16,99,R,71,71,1,3,8,21,39,60,71,0.845070423
102,2013,13,99,M,25,25,1,1,6,16,2,18,25,0.72
